,0%,1%,5%,10%,bucket
0,70817.0,48836.2619,35416.90963,13722.067969999998,LAIVMH
1,56457.0,41255.86774,34030.53055,14549.18591,LAIVMH
2,84293.0,70637.3258,51737.79568,24447.40255,LAIVMH
3,37792.0,27637.72522,20032.7019,12014.13218,STGRFN
4,87872.0,68161.90034,47255.06422,34808.69365,STGRFN
5,100769.0,83670.55456,73493.95396,65333.94853,DEQ
6,50630.0,43152.25059,36628.80165,28670.16742,STGRFN
7,88152.0,66526.04996,51312.68173,39850.90505,STGRFN
8,44878.0,35399.39127,28197.90367,27808.87681,DEQ
9,60668.0,41682.99422,33543.553,31630.63593,DEQ
10,94887.0,68349.04338999999,58338.9588,53128.72839,DEQ
11,163911.0,106824.9195,86053.85053,84307.44828,DEQ
12,76904.0,55398.74468,40009.09207,41809.9053,DEQ
13,93929.0,63051.06047999999,51392.78716,50168.25987,DEQ
14,51784.0,44604.6274,34668.9946,30653.57671,DEQ
15,74193.0,46376.98212,41516.81898,39939.47501,DEQ
16,30878.0,25360.45122,20813.134980000006,21288.17466,DEQ
17,210635.0,127811.3608,115435.0938,115790.9325,DEQ
18,141584.0,108294.1759,79554.20716,82327.52599,DEQ
19,123870.0,84430.86905,71099.51548999999,67740.68041,DEQ
20,99970.0,62947.58138,43449.65985,38435.87781000001,DEQ
21,102024.0,76775.61767,50372.83092,43365.8076,DEQ
22,81185.0,73251.45727,61478.13981,53943.2931,DEQ
23,115609.0,82915.37732999999,53573.87553000001,54649.76062000001,DEQ
24,43642.0,36039.34709,27277.08781,27101.01449,DEQ
25,105334.0,81397.68393,68073.75107,63148.99025,DEQ
26,112661.0,73007.07047,58963.14663,56823.56047,DEQ
27,122636.0,82720.16145,72937.97471000001,64167.89355,DEQ
28,39195.0,29493.00999,24371.87809,17764.2059,STGRFN
29,176643.0,109870.5809,77358.04945,54281.53272999999,STGRFN
30,116704.0,78898.03997,55152.98352,31802.19665,STGRFN
31,41884.0,26384.96766,16379.57715,12029.47501,STGRFN
32,59969.0,43301.23113,34502.438760000005,23427.80185,STGRFN
33,29097.0,23022.9979,17185.39017,11939.51024,STGRFN
34,50908.0,34180.39285,25555.21768,20024.48351,STGRFN
35,93076.0,63122.24823,44623.48196000001,29092.0952,STGRFN
36,83086.0,57455.85038,48814.34413,30519.67566,STGRFN
37,55536.0,58123.69419,32217.45126,26395.94178,STGRFN
38,94990.0,64758.09861,43740.736,31503.7089,STGRFN
39,126897.0,83647.80384,66712.75192000001,41658.56922,STGRFN
40,106603.0,77222.5593,67191.00512,42563.0987,STGRFN
41,85105.0,63566.25427000001,52394.50156,38385.66492,STGRFN
42,77084.0,54482.1107,35658.01904,30187.71264,STGRFN
43,80528.0,59971.640020000006,50153.13583,33555.46352,STGRFN
44,116224.0,78639.70917999999,64079.5834,39781.16492,STGRFN
45,92554.0,68335.0994,56475.11964,38324.991,STGRFN
46,108365.0,66026.26795,49141.90395,31475.11544,STGRFN
47,68533.0,46289.6487,33219.16567,26965.71864,STGRFN
48,85919.0,59961.3655,45713.23302,30417.15767,STGRFN
49,101169.0,68149.42414,57038.237,54126.01224,DEQ
50,45768.0,31829.72942,14369.010230000002,18841.6909,STGRFN
51,98295.0,61432.08967,39465.00966,10890.61869,LAIVMH
52,96337.0,59347.82987,35509.705030000005,14713.77261,LAIVMH
53,119336.0,79704.5898,55271.15885,20150.71314,LAIVMH
54,160065.0,105581.7026,70627.60727000001,41190.61294,STGRFN
55,94004.0,61768.21325,36390.07161,17405.04423,LAIVMH
56,78270.0,45414.8467,25517.14777,19411.46777,STGRFN
57,92908.0,60425.92059,33733.109410000005,15531.12694,LAIVMH
58,85245.0,62931.43571000001,37931.10969,16374.98251,LAIVMH
59,92094.0,56299.23297000001,4980.019608,3460.505247,K
60,100160.0,59603.22509,10320.9102,3459.1104450000007,K
61,97200.0,56347.67,8002.611537000002,7186.022989,K
62,73480.0,46820.98817,12426.65189,8432.27911,K
63,98323.0,63613.22351,9940.21114,12906.80585,K
64,125848.0,72064.7502,8104.92441,8631.038481,K
65,81366.0,51566.34867,5966.664677000002,8661.026737,K
66,64076.0,37906.37418,7305.45638,3535.127186,K
67,241647.0,150222.2908,62791.55157999999,19125.53323,LAIVMH
68,68199.0,46666.87037,28485.80733,12258.92004,LAIVMH
69,114196.0,75745.23008,37019.01819,14752.82709,LAIVMH
70,54143.0,38428.90692,18001.51378,5463.441779,LAIVMH
71,83194.0,59086.5635,31130.87269,17275.32759,LAIVMH
72,76137.0,53594.09861,23646.96363,6192.226137,LAIVMH
73,113153.0,80733.5096,35631.84598,11801.42479,LAIVMH
74,443449.0,270425.3694,176446.0841,75545.99575,LAIVMH
75,73344.0,49039.55062,24379.0162,11345.32434,LAIVMH
76,71563.0,55486.81199,30103.77835,12782.66842,LAIVMH
77,93395.0,67478.64475,38092.90679,19927.54473,LAIVMH
78,86579.0,68332.16382,32557.70105,13374.76212,LAIVMH
79,123568.0,87578.54168,65757.03865,11127.03773,LAIVMH
80,52948.0,34327.9056,23614.44558,24837.94728,STGRFN
81,90309.0,59791.10202000001,39645.84172,43762.62894,DEQ
82,44470.0,28380.42624,21215.24837,25070.87931,DEQ
83,179353.0,110790.1504,82774.28672999999,74755.14267999999,DEQ
84,55281.0,43290.22272,36313.13868,35568.16367,DEQ
85,154484.0,91228.9319,43963.60358,33555.46352,STGRFN
86,101478.0,60210.88956,36499.52259,25822.67791,STGRFN
87,102450.0,77155.77491000001,67645.46462,57931.73112999999,DEQ
88,101038.0,69013.21772,48632.71895,46376.48901000001,DEQ
89,63720.0,49052.02682,47275.68542,30189.80485,STGRFN
90,40554.0,26797.41625,23868.24496,21470.8938,DEQ
91,45233.0,32354.46384,24618.53936,24110.55772,DEQ
92,106208.0,73568.49961,57192.89599,54823.41354,DEQ
93,105142.0,64328.03655,28571.46462,24916.75362,STGRFN
94,55931.0,39763.12674,29858.70332,25427.94878,STGRFN
95,64939.0,55957.97213,45295.25718,34146.16242,STGRFN
96,109882.0,67371.49618999999,56852.64621,47752.46177,STGRFN
97,75574.0,55198.39152999999,46318.38591000001,40713.59045,DEQ
98,83801.0,53790.04837999999,36924.63654,28848.00475,STGRFN
99,64429.0,43856.05522,30097.433360000006,28388.41729,STGRFN
100,70161.0,53959.57796,41842.79255,30044.74538,STGRFN
101,59567.0,46799.70523,31996.16993,27829.10145,STGRFN
102,72220.0,49821.88194,37530.58255,32216.45302,STGRFN
103,77855.0,44453.44517,37411.61409,23928.53598,STGRFN
104,67189.0,50950.61136,42031.55584,32096.5,STGRFN
105,112090.0,75979.34236000001,55884.24297000001,34087.58071,STGRFN
106,64126.0,43779.73021,33576.071039999995,21286.08246,STGRFN
107,67666.0,43016.48015,34485.78318,26143.48251,STGRFN
108,130690.0,80456.83145,65446.92754,43617.56947,STGRFN
109,115269.0,71855.59032,54306.72123,35568.16367,STGRFN
110,41983.0,26249.93111,22638.11111,16607.21714,STGRFN
111,32072.0,24672.79227,19055.57431,15103.61994,STGRFN
112,65289.0,42111.58848,27630.82069,24417.41429,STGRFN
113,54152.0,33563.18775,30351.23274,18309.57371,STGRFN
114,65666.0,43060.5138,31124.52771,15870.06397,LAIVMH
115,176711.0,112434.0736,66188.49758,26591.91154,LAIVMH
116,92677.0,71697.06916,43603.52572,18940.02449,LAIVMH
117,35415.0,31986.7828,19732.10827,6743.870565,LAIVMH
